P1,P2,P2.1,P3,P4,P5,P6,P7,P8.1,P8.2,P8.3,P9,P10,P11.1,P11.2,P11.3,P11.4,P11.5,P11.6,P11.7,P12,P13,P14.1,P14.2,P14.3,P14.4,P14.5,P14.6,P14.7,P15,P16,P17,P18,P19,P20,P21,P22,P23,P4_categorias,ideologia_agrupada
1998,No,No,,,8,"Familiares, Amistades, Sociedad en general",,8,4.0,4.0,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,De acuerdo,En desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",5,6,4,3,6,7,4,"No, debería ser más",10,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),2,Técnicos y profesionales científicos e intelectuales,Menos de 1.100,Estudios universitarios o equivalentes,,Izquierda
1963,Sí,,24.0,,0,De nadie en particular,Ninguna,0,10.0,0.0,No,N.S.,De acuerdo,N.C.,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,De acuerdo,35-39 años,Falta de estabilidad económica,7,7,7,7,7,7,7,"No, debería ser más",5,Sí,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),0,En paro,No tiene ingresos de ningún tipo,Educación secundaria obligatoria,,Izquierda
1994,No,Sí,,30,10,De nadie en particular,,0,10.0,10.0,N.S.,Sí,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,35-39 años,"Falta de estabilidad económica, No tener pareja",7,7,7,7,7,7,7,"No, debería ser más",6,No,Totalmente de acuerdo,Católica no practicante,8,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Estudios universitarios o equivalentes,Entre 30 y 35 años,Derecha
1989,Sí,,31.0,,5,Sociedad en general,Preocupación,10,5.0,5.0,Sí,No,Ni acuerdo ni desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,No creyente,2,Empleados de tipo administrativo,Menos de 1.100,Formación profesional de grado superior,,Izquierda
2000,No,Sí,,30,2,Sociedad en general,,10,3.0,7.0,N.S.,Sí,Ni acuerdo ni desacuerdo,En desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,De acuerdo,En desacuerdo,De acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica, No tener pareja, Incertidumbre acerca del futuro",7,6,6,6,5,5,6,"No, debería ser más",8,No,De acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),3,Estudiante,No tiene ingresos de ningún tipo,Estudios universitarios o equivalentes,Entre 30 y 35 años,Izquierda
1963,Sí,,30.0,,0,De nadie en particular,"Ansiedad, Miedo, Preocupación",1,2.0,1.0,No,Sí,De acuerdo,En desacuerdo,En desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,En desacuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",5,7,7,7,7,7,7,Sí,10,No,De acuerdo,No creyente,8,Empleados de tipo administrativo,De 1.100 a 1.800,Formación profesional de grado superior,,Derecha
1977,No,N.S.,,En tener estabilidad económica,0,N.C.,,1,9.0,5.0,N.S.,Sí,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,N.S.,En desacuerdo,De acuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, No tener pareja",7,7,6,5,6,5,7,"No, debería ser más",9,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),1,Empleados de tipo administrativo,Menos de 1.100,Formación profesional de grado medio,Al tener estabilidad,Izquierda
1988,No,N.S.,,38,2,"Sociedad en general, De nadie en particular",N.C.,1,1.0,1.0,Sí,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,3,6,6,6,6,"No, debería ser más",10,No,Totalmente de acuerdo,No creyente,0,Técnicos y profesionales de apoyo,De 1.100 a 1.800,Estudios universitarios o equivalentes,Más de 35 años,Izquierda
1992,Sí,,29.0,,0,De nadie en particular,"Ansiedad, Depresión, Miedo, Culpa, Soledad, Preocupación",10,0.0,0.0,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,N.C.,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,1,7,"No, debería ser más",10,No,Totalmente de acuerdo,No creyente,5,N.C.,Menos de 1.100,Formación profesional de grado superior,,Centro
2000,No,Sí,,30,3,Amistades,,1,0.0,0.0,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,Ni acuerdo ni desacuerdo,De acuerdo,De acuerdo,40 o más años,Falta de estabilidad económica,4,7,7,7,7,7,7,Sí,10,Sí,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),5,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",Menos de 1.100,Formación profesional de grado medio,Entre 30 y 35 años,Centro
1996,No,No,,,10,"Familiares, Amistades",,10,5.0,,No,No,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",5,7,7,5,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),5,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",Menos de 1.100,Educación secundaria obligatoria,,Centro
1991,No,N.S.,,,5,De nadie en particular,,1,1.0,1.0,Sí,N.S.,Ni acuerdo ni desacuerdo,De acuerdo,Totalmente en desacuerdo,N.S.,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,5,5,7,7,7,"No, debería ser más",10,No,Ni acuerdo ni desacuerdo,No creyente,6,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",Menos de 1.100,Formación profesional de grado medio,,Centro
1983,Sí,,36.0,,0,N.C.,"Miedo, Culpa, Preocupación",1,1.0,0.0,No,No,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,N.S.,Totalmente de acuerdo,N.S.,N.S.,N.S.,"Precariedad laboral, Estudios, Falta de estabilidad económica",7,7,7,4,7,7,7,"No, debería ser más",10,N.S.,De acuerdo,Católica no practicante,7,Técnicos y profesionales de apoyo,N.C.,Estudios universitarios o equivalentes,,Derecha
1992,No,No,,,1,Familiares,,3,2.0,2.0,No,No,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,4,7,4,7,N.S.,10,No,Ni acuerdo ni desacuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),5,"Artesanos y trabajadores cualificados en las industrias manufactureras, la construcción y la minería",De 1.100 a 1.800,Formación profesional de grado superior,,Centro
1982,Sí,,30.0,,0,De nadie en particular,"Ansiedad, Miedo, Culpa, Soledad, Preocupación",0,10.0,,No,Sí,Ni acuerdo ni desacuerdo,En desacuerdo,Ni acuerdo ni desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,7,7,5,7,Debería ser más para la mujer y menos para el hombre,10,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),3,Técnicos y profesionales científicos e intelectuales,N.C.,Estudios universitarios o equivalentes,,Izquierda
1996,No,Sí,,A partir de los 35,5,Sociedad en general,,10,0.0,0.0,No,N.S.,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",5,5,7,6,7,5,5,"No, debería ser más",10,No,De acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),3,Empleados de tipo administrativo,De 1.100 a 1.800,Estudios universitarios o equivalentes,Entre 30 y 35 años,Izquierda
1988,No,No,,,0,De nadie en particular,,3,0.0,2.0,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,De acuerdo,Ni acuerdo ni desacuerdo,40 o más años,"Precariedad laboral, No tener pareja, Incertidumbre acerca del futuro",4,6,6,4,4,6,6,"No, debería ser más",5,No,Totalmente de acuerdo,Católica no practicante,5,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Estudios universitarios o equivalentes,,Centro
1990,Sí,No,28.0,,0,De nadie en particular,Preocupación,1,3.0,3.0,No,Sí,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,De acuerdo,40 o más años,"Estudios, Falta de estabilidad económica, No tener pareja, Incertidumbre acerca del futuro",7,7,6,7,7,6,7,"No, debería ser más",10,No,De acuerdo,Creyente de otra religión,7,Estudiante,De 1.100 a 1.800,Bachillerato,,Derecha
1980,No,No,,,10,"Familiares, Pareja, Amistades, Entorno laboral, Sociedad en general",,2,0.0,1.0,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Ni acuerdo ni desacuerdo,En desacuerdo,40 o más años,"Precariedad laboral, Estudios, Falta de estabilidad económica",6,7,6,5,5,5,7,"No, debería ser más",5,No,Totalmente de acuerdo,Atea (niega la existencia de Dios),3,N.C.,N.C.,Estudios universitarios o equivalentes,,Izquierda
1963,Sí,,36.0,,0,De nadie en particular,Ninguna,1,2.0,1.0,Sí,N.S.,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,35-39 años,"Falta de estabilidad económica, No tener pareja, Incertidumbre acerca del futuro",6,7,6,7,7,6,7,Debería ser más para la mujer y menos para el hombre,7,No,Ni acuerdo ni desacuerdo,Católica practicante,8,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",De 1.100 a 1.800,Estudios primarios o equivalentes,,Derecha
1973,Sí,,17.0,,0,De nadie en particular,"Ansiedad, Miedo, Culpa, Ninguna",8,3.0,10.0,Sí,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,5,7,5,7,"No, debería ser más",10,No,Totalmente de acuerdo,Católica practicante,5,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Formación profesional de grado superior,,Centro
1968,Sí,,25.0,,0,De nadie en particular,"Ansiedad, Preocupación",0,2.0,0.0,No,No,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,40 o más años,"Falta de estabilidad económica, No tener pareja",7,7,5,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Católica no practicante,5,Trabajadores no cualificados,Menos de 1.100,Formación profesional de grado medio,,Centro
1986,Sí,,37.0,,4,"Familiares, Sociedad en general","Ansiedad, Miedo, Culpa, Soledad, Preocupación",2,1.0,1.0,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,40 o más años,"Estudios, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",5,No,De acuerdo,Atea (niega la existencia de Dios),3,N.C.,N.C.,Formación profesional de grado superior,,Izquierda
1986,Sí,,34.0,,6,Familiares,"Ansiedad, Depresión, Preocupación",6,8.0,7.0,No,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,En desacuerdo,Ni acuerdo ni desacuerdo,35-39 años,"Falta de estabilidad económica, Incertidumbre acerca del futuro, Compatibilidad laboral",7,4,7,6,7,6,7,"No, debería ser más",10,No,Totalmente de acuerdo,Atea (niega la existencia de Dios),2,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Estudios universitarios o equivalentes,,Izquierda
1998,No,Sí,,Antes de los 30 y estable económicamente,3,Familiares,,7,5.0,7.0,No,N.S.,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,Sí,6,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),2,Empleados de tipo administrativo,De 1.100 a 1.800,Estudios universitarios o equivalentes,Al tener estabilidad,Izquierda
1968,Sí,,30.0,,5,"Familiares, Amistades, Sociedad en general","Ansiedad, Depresión, Miedo, Culpa, Soledad, Preocupación",8,2.0,4.0,No,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,35-39 años,"Difícil emancipación, Estudios, Falta de estabilidad económica",3,7,7,5,7,5,7,"No, debería ser más",8,No,Totalmente de acuerdo,Católica no practicante,5,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",Menos de 1.100,Bachillerato,,Centro
1992,No,Sí,,33,5,Sociedad en general,,9,2.0,9.0,No,No,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,N.S.,N.S.,En desacuerdo,De acuerdo,40 o más años,"Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",6,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),3,Técnicos y profesionales científicos e intelectuales,De 1.801 a 2.700,Estudios universitarios o equivalentes,Entre 30 y 35 años,Izquierda
1974,Sí,,37.0,,0,De nadie en particular,Ninguna,0,2.0,2.0,No,Sí,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,N.C.,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,40 o más años,"Difícil emancipación, Estudios, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Católica practicante,4,Técnicos y profesionales científicos e intelectuales,De 3.901 a 5.000,Estudios universitarios o equivalentes,,Centro
1989,Sí,,30.0,,2,Familiares,"Ansiedad, Miedo, Soledad, Preocupación",9,4.0,2.0,No,Sí,Ni acuerdo ni desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,Ni acuerdo ni desacuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica, No tener pareja",7,7,7,6,6,5,7,"No, debería ser más",10,No,Totalmente de acuerdo,No creyente,1,Técnicos y profesionales científicos e intelectuales,De 1.801 a 2.700,Estudios universitarios o equivalentes,,Izquierda
1963,Sí,,28.0,,0,De nadie en particular,"Ansiedad, Depresión",0,10.0,5.0,No,Sí,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,35-39 años,"Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,Sí,8,No,Totalmente de acuerdo,Católica no practicante,8,Ama de casa,No tiene ingresos de ningún tipo,Formación profesional de grado medio,,Derecha
1972,Sí,,24.0,,0,De nadie en particular,"Ansiedad, Soledad, Preocupación",1,0.0,3.0,No,No,En desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,N.C.,De acuerdo,En desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,5,5,6,7,"No, debería ser más",10,No,De acuerdo,No creyente,1,Pensionista,De 1.100 a 1.800,Educación secundaria obligatoria,,Izquierda
1998,No,Sí,,33,0,De nadie en particular,,10,5.0,1.0,Sí,N.S.,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,En desacuerdo,Totalmente de acuerdo,40 o más años,"Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,4,5,5,7,4,7,"No, debería ser más",5,No,De acuerdo,No creyente,0,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",De 1.100 a 1.800,Estudios universitarios o equivalentes,Entre 30 y 35 años,Izquierda
2003,Sí,,18.0,,0,N.C.,"Ansiedad, Depresión, Miedo, Preocupación",7,9.0,2.0,No,Sí,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Creyente de otra religión,5,Empleados de tipo administrativo,Más de 5.000,Bachillerato,,Centro
1998,No,Sí,,Antes de los 30,0,De nadie en particular,,7,4.0,6.0,No,Sí,Ni acuerdo ni desacuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,35-39 años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,4,4,7,6,5,"No, debería ser más",10,No,De acuerdo,No creyente,5,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",De 1.801 a 2.700,Estudios universitarios o equivalentes,Entre 30 y 35 años,Centro
1991,Sí,,32.0,,7,"Familiares, Amistades, Sociedad en general","Ansiedad, Miedo, Culpa, Soledad, Preocupación",2,1.0,1.0,No,Sí,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,5,6,5,7,"No, debería ser más",9,No,De acuerdo,No creyente,3,Técnicos y profesionales científicos e intelectuales,De 1.801 a 2.700,Estudios universitarios o equivalentes,,Izquierda
1983,Sí,,26.0,,1,De nadie en particular,"Ansiedad, Depresión, Miedo, Culpa, Soledad, Preocupación",1,1.0,1.0,Sí,Sí,Ni acuerdo ni desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica, No tener pareja, Incertidumbre acerca del futuro",7,7,7,5,7,6,7,"No, debería ser más",10,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),5,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",De 1.100 a 1.800,Educación secundaria obligatoria,,Centro
1968,Sí,,24.0,,0,De nadie en particular,"Miedo, Preocupación",0,0.0,0.0,Sí,Sí,Totalmente de acuerdo,Totalmente en desacuerdo,En desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica",7,7,7,7,7,7,7,Sí,10,No,Totalmente de acuerdo,Católica no practicante,6,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",De 1.100 a 1.800,Estudios primarios o equivalentes,,Centro
1963,No,Sí,,Ya no es posible,0,De nadie en particular,,3,6.0,7.0,Sí,Sí,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,40 o más años,"Falta de estabilidad económica, No tener pareja, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,Debería ser más para la mujer y menos para el hombre,7,No,De acuerdo,Católica no practicante,5,Empleados de tipo administrativo,De 1.100 a 1.800,Estudios universitarios o equivalentes,,Centro
1982,Sí,,31.0,,0,De nadie en particular,"Ansiedad, Miedo, Culpa, Preocupación",2,1.0,1.0,No,No,Ni acuerdo ni desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,7,5,4,7,"No, debería ser más",10,No,De acuerdo,No creyente,7,Técnicos y profesionales de apoyo,De 1.100 a 1.800,Educación secundaria obligatoria,,Derecha
1999,Sí,,18.0,,0,De nadie en particular,"Ansiedad, Depresión, Miedo, Soledad, Preocupación",5,10.0,5.0,No,Sí,En desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,N.C.,35-39 años,"Difícil emancipación, Estudios, No tener pareja, La inestabilidad de las relaciones de pareja",7,7,7,7,7,7,7,"No, debería ser más",5,No,Totalmente de acuerdo,Creyente de otra religión,5,Estudiante,Menos de 1.100,Formación profesional de grado medio,,Centro
1988,No,Sí,,36,6,Sociedad en general,,3,1.0,1.0,Sí,Sí,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",10,No,De acuerdo,No creyente,5,En paro,Menos de 1.100,Formación profesional de grado superior,Más de 35 años,Centro
1979,Sí,,26.0,,0,De nadie en particular,"Culpa, Preocupación",2,1.0,0.0,No,No,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,De acuerdo,Totalmente de acuerdo,40 o más años,"Estudios, Falta de estabilidad económica, Viajar, ocio ect",7,5,6,6,7,4,5,"No, debería ser más",8,No,Totalmente de acuerdo,Católica no practicante,4,Técnicos y profesionales de apoyo,De 1.100 a 1.800,Formación profesional de grado medio,,Centro
1995,Sí,,16.0,,7,Familiares,"Ansiedad, Depresión, Miedo, Culpa, Soledad, Preocupación",8,2.0,6.0,No,No,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",6,6,6,4,3,5,6,"No, debería ser más",9,No,Totalmente de acuerdo,Católica no practicante,3,Empleados de tipo administrativo,Menos de 1.100,Educación secundaria obligatoria,,Izquierda
1987,Sí,,33.0,,0,N.C.,"Ansiedad, Depresión, Miedo, Culpa, Soledad, Preocupación",10,2.0,6.0,No,No,De acuerdo,En desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, No tener pareja, Incertidumbre acerca del futuro",6,6,6,5,7,6,6,"No, debería ser más",10,No,De acuerdo,N.S.,6,N.S.,Menos de 1.100,Estudios universitarios o equivalentes,,Centro
1962,Sí,,38.0,,4,Sociedad en general,"Ansiedad, Preocupación",2,1.0,2.0,Sí,No,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,N.S.,Totalmente en desacuerdo,De acuerdo,Totalmente de acuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,5,5,7,5,6,"No, debería ser más",10,No,Totalmente de acuerdo,N.C.,0,Técnicos y profesionales científicos e intelectuales,Menos de 1.100,Formación profesional de grado medio,,Izquierda
1978,Sí,,41.0,,10,Sociedad en general,"Ansiedad, Depresión, Miedo, Culpa, Soledad, Preocupación",2,1.0,1.0,No,No,Ni acuerdo ni desacuerdo,En desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,N.C.,40 o más años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,4,7,6,7,"No, debería ser más",10,No,Totalmente de acuerdo,Católica no practicante,0,Ama de casa,De 1.100 a 1.800,Bachillerato,,Izquierda
1997,No,Sí,,27,5,Amistades,,8,7.0,,Sí,Sí,Totalmente de acuerdo,N.S.,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Ni acuerdo ni desacuerdo,En desacuerdo,35-39 años,Falta de estabilidad económica,7,7,7,7,4,6,7,"No, debería ser más",5,No,Totalmente de acuerdo,Creyente de otra religión,4,Técnicos y profesionales científicos e intelectuales,De 1.801 a 2.700,Estudios universitarios o equivalentes,Antes de los 30 años,Centro
1966,Sí,,36.0,,5,De nadie en particular,Preocupación,1,9.0,9.0,Sí,Sí,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,N.C.,"Estudios, Falta de estabilidad económica",7,7,4,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Católica no practicante,6,Empleados de tipo administrativo,De 1.100 a 1.800,Estudios universitarios o equivalentes,,Centro
1996,Sí,,27.0,,5,"Familiares, Pareja, Amistades, Entorno laboral","Ansiedad, Depresión, Miedo, Culpa, Soledad, Preocupación",10,5.0,0.0,No,Sí,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,5,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Creyente de otra religión,5,Trabajadores no cualificados,Menos de 1.100,Formación profesional de grado superior,,Centro
1999,No,No,,,7,Familiares,,8,6.0,9.0,Sí,No,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",6,6,5,7,7,6,7,"No, debería ser más",6,No,Totalmente de acuerdo,Atea (niega la existencia de Dios),4,Empleados de tipo administrativo,Menos de 1.100,Estudios universitarios o equivalentes,,Centro
